id,title,description,image,price,availability,rating,affiliateUrl,tags,asin
19,Large-Print Puzzle Book (Crosswords),"Gentle brain exercise with large type and pleasant challenges.","https://placehold.co/400x250/708090/ffffff?text=Puzzle+Book","$7.99","In stock",4.2,"https://www.amazon.com/s?k=large+print+puzzle+book&tag=giftwithai-21","senior (55+);under $25;puzzles",
20,Plush Throw Blanket (Soft),"Snuggle-level: expert. Cozy evenings guaranteed.","https://placehold.co/400x250/ffdead/000000?text=Throw+Blanket","$24.99","In stock",4.6,"https://www.amazon.com/s?k=plush+throw+blanket&tag=giftwithai-21","senior (55+);$25 - $75;home",
21,Travel Organizer Pouch,"Zip and go: perfect for chargers, toiletries and calm carry-on lives.","https://placehold.co/400x250/6a5acd/ffffff?text=Organizer","$27.99","In stock",4.5,"https://www.amazon.com/s?k=travel+organizer+pouch&tag=giftwithai-21","adult (20-55);$25 - $75;travel",
22,Novelty Ceramic Planter,"Cute planter for desks and tiny green corners.","https://placehold.co/400x250/98fb98/000000?text=Planter","$22.99","In stock",4.4,"https://www.amazon.com/s?k=novelty+ceramic+planter&tag=giftwithai-21","adult (20-55);under $25;home",
23,Desk Puzzle Fidget (Office Fun),"Tiny brain teaser for breaks and micro-challenges.","https://placehold.co/400x250/ffd700/000000?text=Desk+Puzzle","$24.99","In stock",4.3,"https://www.amazon.com/s?k=desk+puzzle+game&tag=giftwithai-21","adult (20-55);under $25;office",
24,Pets — Interactive Cat Toy Set,"For the purr-fect play sessions when humans are busy (or just scrolling).","https://placehold.co/400x250/ff6347/ffffff?text=Pet+Toy","$17.99","In stock",4.3,"https://www.amazon.com/s?k=interactive+cat+toy+set&tag=giftwithai-21","pets;under $25;family member",
25,Novelty Pet Toy Pack (Dog),"Durable chew toys and squeakers for tail-wagging fun.","https://placehold.co/400x250/ff4500/ffffff?text=Dog+Toy","$19.99","In stock",4.4,"https://www.amazon.com/s?k=novelty+pet+toy+pack&tag=giftwithai-21","pets;under $25",
26,Travel-Sized First Aid Kit,"Tiny kit, big care — practical and thoughtful for travelers.","https://placehold.co/400x250/20b2aa/ffffff?text=First+Aid+Kit","$12.99","In stock",4.2,"https://www.amazon.com/s?k=travel+first+aid+kit&tag=giftwithai-21","adult (20-55);under $25;practical",
27,Magnetic Building Tiles (Set 36),"Colorful magnetic tiles for open-ended creative building.","https://placehold.co/400x250/ffb347/000000?text=Magnetic+Tiles","$39.99","In stock",4.5,"https://www.amazon.com/s?k=magnetic+building+tiles&tag=giftwithai-21","preschool (4-6);kid (7-9);$25 - $75;STEM;toys",
28,Wooden Train Set (Starter),"Classic wooden tracks and trains for imaginative play.","https://placehold.co/400x250/8b5a2b/ffffff?text=Train+Set","$34.99","In stock",4.6,"https://www.amazon.com/s?k=wooden+train+set&tag=giftwithai-21","toddler (1-3);preschool (4-6);toys;family member",
29,Bath Toy Set — Foam Letters,"Safe foam letters for the tub — learning and splashing combined.","https://placehold.co/400x250/7fffd4/000000?text=Bath+Toys","$10.99","In stock",4.4,"https://www.amazon.com/s?k=bath+toy+foam+letters&tag=giftwithai-21","toddler (1-3);preschool (4-6);under $25;child",
30,Kids' Gardening Kit,"Small tools, seeds and a kid-sized pot for growing green thumbs.","https://placehold.co/400x250/98fb98/000000?text=Gardening+Kit","$21.99","In stock",4.5,"https://www.amazon.com/s?k=kids+gardening+kit&tag=giftwithai-21","kid (7-9);preschool (4-6);$25 - $75;outdoors",
31,Light-Up Tracing Pad,"Creative tracing board for drawing practice and light shows.","https://placehold.co/400x250/ffd1dc/000000?text=Tracing+Pad","$29.99","In stock",4.3,"https://www.amazon.com/s?k=light+up+tracing+pad&tag=giftwithai-21","tween (10-12);kid (7-9);arts & crafts;$25 - $75",
32,Kids' Headlamp for Adventures,"Hands-free light for night forts and backyard exploring.","https://placehold.co/400x250/00008b/ffffff?text=Headlamp","$14.99","In stock",4.2,"https://www.amazon.com/s?k=kids+headlamp&tag=giftwithai-21","kid (7-9);tween (10-12);outdoors;under $25",
33,Mini Karaoke Microphone,"Portable microphone for impromptu performances and silly singalongs.","https://placehold.co/400x250/ff69b4/000000?text=Karaoke+Mic","$24.99","In stock",4.1,"https://www.amazon.com/s?k=mini+karaoke+microphone&tag=giftwithai-21","teen (13-19);tech & gadgets;$25 - $75",
34,DIY Slime Kit (Non-toxic),"Make-and-play slime with safe ingredients and fun add-ins.","https://placehold.co/400x250/9acd32/000000?text=Slime+Kit","$16.99","In stock",4.0,"https://www.amazon.com/s?k=diy+slime+kit&tag=giftwithai-21","tween (10-12);kid (7-9);arts & crafts;under $25",
35,Junior Microscope Set,"Intro microscope for curious kids — easy slides and bright views.","https://placehold.co/400x250/00ced1/000000?text=Microscope","$49.99","In stock",4.4,"https://www.amazon.com/s?k=junior+microscope+set&tag=giftwithai-21","tween (10-12);STEM;$25 - $75;educational",
36,Retro Puzzle Globe,"Compact globe puzzle to build geography smarts and hands-on fun.","https://placehold.co/400x250/20b2aa/ffffff?text=Puzzle+Globe","$22.99","In stock",4.5,"https://www.amazon.com/s?k=globe+puzzle&tag=giftwithai-21","kid (7-9);tween (10-12);under $25;educational",
37,Beginner Coding Robot (STEM Toy),"Screen-free coding with simple commands and visible results.","https://placehold.co/400x250/4682b4/ffffff?text=Coding+Robot","$59.99","In stock",4.6,"https://www.amazon.com/s?k=beginner+coding+robot&tag=giftwithai-21","tween (10-12);STEM;$25 - $75;educational",
38,Personalized Name Puzzle,"Custom wooden name puzzle — decor and play in one.","https://placehold.co/400x250/ffb6c1/000000?text=Name+Puzzle","$29.99","In stock",4.8,"https://www.amazon.com/s?k=personalized+name+puzzle&tag=giftwithai-21","kid (7-9);preschool (4-6);family member;$25 - $75",
39,Watercolor Paint Set for Kids,"Washable paints, sturdy brush set and practice pads.","https://placehold.co/400x250/ff7f50/000000?text=Watercolor+Set","$18.99","In stock",4.4,"https://www.amazon.com/s?k=watercolor+paint+set+kids&tag=giftwithai-21","preschool (4-6);kid (7-9);arts & crafts;under $25",
40,Magnetic Fishing Game,"Cute fishing game for coordination and giggles.","https://placehold.co/400x250/00bfff/000000?text=Fishing+Game","$13.99","In stock",4.3,"https://www.amazon.com/s?k=magnetic+fishing+game&tag=giftwithai-21","toddler (1-3);preschool (4-6);under $25;toys",
41,Junior Art Easel,"Small tabletop easel for painting and display.","https://placehold.co/400x250/ffa07a/000000?text=Art+Easel","$44.99","In stock",4.5,"https://www.amazon.com/s?k=junior+art+easel&tag=giftwithai-21","kid (7-9);tween (10-12);arts & crafts;$25 - $75",
42,Story Dice Set,"Roll the dice and invent a tale — perfect for imagination and travel.","https://placehold.co/400x250/8a2be2/ffffff?text=Story+Dice","$11.99","In stock",4.6,"https://www.amazon.com/s?k=story+dice+set&tag=giftwithai-21","kid (7-9);tween (10-12);under $25;books",
43,Glow-in-the-Dark Stars Kit,"Decorate ceilings and create bedtime constellations.","https://placehold.co/400x250/00008b/ffffff?text=Glow+Stars","$9.99","In stock",4.2,"https://www.amazon.com/s?k=glow+in+the+dark+stars+kit&tag=giftwithai-21","kid (7-9);tween (10-12);under $25;home",
44,Beginner Ukulele (Kid Size),"Small ukulele with soft nylon strings for first songs.","https://placehold.co/400x250/ffd700/000000?text=Ukulele","$39.99","In stock",4.4,"https://www.amazon.com/s?k=beginner+ukulele+kid&tag=giftwithai-21","tween (10-12);teen (13-19);$25 - $75;music",
45,Personalized Water Bottle (Insulated),"Insulated bottle with fun colors and name personalization.","https://placehold.co/400x250/2e8b57/ffffff?text=Water+Bottle","$24.99","In stock",4.7,"https://www.amazon.com/s?k=personalized+insulated+water+bottle&tag=giftwithai-21","kid (7-9);tween (10-12);adult (20-55);under $25",
46,Outdoor Explorer Kit,"Binoculars, compass and field notebook for backyard adventurers.","https://placehold.co/400x250/20b2aa/ffffff?text=Explorer+Kit","$34.99","In stock",4.5,"https://www.amazon.com/s?k=outdoor+explorer+kit+kids&tag=giftwithai-21","kid (7-9);tween (10-12);outdoors;$25 - $75",
47,Mini Drone (Beginner Friendly),"Light drone with protective prop guards for first flights.","https://placehold.co/400x250/6a5acd/ffffff?text=Mini+Drone","$49.99","In stock",4.1,"https://www.amazon.com/s?k=mini+drone+beginner&tag=giftwithai-21","teen (13-19);adult (20-55);tech & gadgets;$25 - $75",
48,DIY Bracelet Kit,"Beads, strings and instructions for friendship bracelets and more.","https://placehold.co/400x250/ff69b4/000000?text=Bracelet+Kit","$14.99","In stock",4.3,"https://www.amazon.com/s?k=diy+bracelet+kit&tag=giftwithai-21","tween (10-12);kid (7-9);arts & crafts;under $25",
49,Sticker Reward Charts,"Magnetic or adhesive charts to celebrate milestones and routines.","https://placehold.co/400x250/ff7f50/000000?text=Reward+Chart","$9.99","In stock",4.4,"https://www.amazon.com/s?k=sticker+reward+chart&tag=giftwithai-21","preschool (4-6);toddler (1-3);under $25;family",
50,Kids' Baking Set (Safe Tools),"Mini rolling pin, cutters and a recipe card for tiny bakers.","https://placehold.co/400x250/ffdead/000000?text=Baking+Set","$19.99","In stock",4.2,"https://www.amazon.com/s?k=kids+baking+set&tag=giftwithai-21","kid (7-9);preschool (4-6);under $25;arts & crafts",
51,Compact Travel Chess Set,"Magnetic travel chess for strategic play on the go.","https://placehold.co/400x250/000000/ffffff?text=Travel+Chess","$24.99","In stock",4.5,"https://www.amazon.com/s?k=travel+chess+set&tag=giftwithai-21","tween (10-12);adult (20-55);$25 - $75;games",
52,LED Night Light Projector,"Project magical stars or animals onto bedroom ceilings.","https://placehold.co/400x250/8a2be2/ffffff?text=Night+Projector","$19.99","In stock",4.4,"https://www.amazon.com/s?k=led+night+light+projector&tag=giftwithai-21","kid (7-9);tween (10-12);under $25;home",
53,Collectible Sticker Cards Pack,"Trendy collectible cards and sticker sets for swapping.","https://placehold.co/400x250/ffb6c1/000000?text=Sticker+Cards","$8.99","In stock",4.0,"https://www.amazon.com/s?k=collectible+sticker+cards&tag=giftwithai-21","tween (10-12);teen (13-19);under $25",
54,Starter Telescope for Kids,"Compact telescope for first glimpses of the moon and stars.","https://placehold.co/400x250/00008b/ffffff?text=Telescope","$54.99","In stock",4.2,"https://www.amazon.com/s?k=starter+telescope+for+kids&tag=giftwithai-21","tween (10-12);teen (13-19);$25 - $75;educational",
55,Interactive Flash Cards (Early Learning),"Cards for letters, numbers and shapes with bright imagery.","https://placehold.co/400x250/ffd700/000000?text=Flash+Cards","$12.99","In stock",4.6,"https://www.amazon.com/s?k=interactive+flash+cards&tag=giftwithai-21","toddler (1-3);preschool (4-6);under $25;educational",
56,Pop-It Sensory Fidget Toy Pack,"Colorful pop-it toys for calming and focus.","https://placehold.co/400x250/ff69b4/000000?text=Pop+It","$11.99","In stock",4.1,"https://www.amazon.com/s?k=pop+it+sensory+toy&tag=giftwithai-21","kid (7-9);tween (10-12);under $25;gadgets",
57,Kids' Waterproof Camera,"Rugged camera for capturing outdoor adventures and vacations.","https://placehold.co/400x250/20b2aa/ffffff?text=Waterproof+Camera","$39.99","In stock",4.0,"https://www.amazon.com/s?k=kids+waterproof+camera&tag=giftwithai-21","tween (10-12);teen (13-19);$25 - $75;tech & gadgets",
58,Wooden Balance Board,"Develop balance and core strength with playful rocking.","https://placehold.co/400x250/8b4513/ffffff?text=Balance+Board","$49.99","In stock",4.3,"https://www.amazon.com/s?k=wooden+balance+board&tag=giftwithai-21","kid (7-9);tween (10-12);$25 - $75;fitness",
59,Color-Changing Mood Lamp,"Lamp that shifts colors for cozy and playful vibes.","https://placehold.co/400x250/8a2be2/ffffff?text=Mood+Lamp","$29.99","In stock",4.4,"https://www.amazon.com/s?k=color+changing+mood+lamp&tag=giftwithai-21","teen (13-19);adult (20-55);$25 - $75;home",
60,Compact Puzzle Ball,"Challenging spherical puzzle for curious minds.","https://placehold.co/400x250/ffd700/000000?text=Puzzle+Ball","$14.99","In stock",4.2,"https://www.amazon.com/s?k=compact+puzzle+ball&tag=giftwithai-21","tween (10-12);teen (13-19);under $25;games",
61,Kids' Yoga Mat (Non-slip),"Soft mat for little yogis and stretch sessions.","https://placehold.co/400x250/20b2aa/ffffff?text=Kids+Yoga+Mat","$19.99","In stock",4.5,"https://www.amazon.com/s?k=kids+yoga+mat&tag=giftwithai-21","kid (7-9);tween (10-12);under $25;fitness",
62,Digital Drawing Tablet (Beginner),"Affordable tablet for digital doodles and practice.","https://placehold.co/400x250/6495ed/ffffff?text=Drawing+Tablet","$59.99","In stock",4.3,"https://www.amazon.com/s?k=digital+drawing+tablet+beginner&tag=giftwithai-21","tween (10-12);teen (13-19);$25 - $75;tech & gadgets",
63,Wooden Shape Sorter,"Classic shape sorter with bright shapes and push-in fun.","https://placehold.co/400x250/ffb6c1/000000?text=Shape+Sorter","$24.99","In stock",4.7,"https://www.amazon.com/s?k=wooden+shape+sorter&tag=giftwithai-21","toddler (1-3);preschool (4-6);toys;under $25",
64,Play Tent & Tunnel Set,"Indoor tent and tunnel for hide-and-seek and cozy corners.","https://placehold.co/400x250/ff7f50/000000?text=Play+Tent","$39.99","In stock",4.4,"https://www.amazon.com/s?k=play+tent+tunnel&tag=giftwithai-21","kid (7-9);preschool (4-6);$25 - $75;indoor",
65,Kids' Sports Kit (Mini Soccer),"Soft ball, cones and pump for backyard play.","https://placehold.co/400x250/228b22/ffffff?text=Sports+Kit","$19.99","In stock",4.3,"https://www.amazon.com/s?k=kids+sports+kit&tag=giftwithai-21","kid (7-9);tween (10-12);outdoors;under $25",
66,Sticker Reward Calendar,"Magnetic daily chart for routines, chores and wins.","https://placehold.co/400x250/ffdead/000000?text=Reward+Calendar","$12.99","In stock",4.5,"https://www.amazon.com/s?k=sticker+reward+calendar&tag=giftwithai-21","toddler (1-3);preschool (4-6);under $25;family",
67,Child-Safe Binoculars,"Small optics for birdwatching and nature days.","https://placehold.co/400x250/6a5acd/ffffff?text=Binoculars","$21.99","In stock",4.2,"https://www.amazon.com/s?k=child+binoculars&tag=giftwithai-21","kid (7-9);tween (10-12);outdoors;under $25",
68,Sound Puzzle Book,"Interactive book with animal sounds and puzzles.","https://placehold.co/400x250/ffb6c1/000000?text=Sound+Book","$14.99","In stock",4.6,"https://www.amazon.com/s?k=sound+puzzle+book&tag=giftwithai-21","toddler (1-3);preschool (4-6);books;under $25",
69,Kids' Snack Maker (Toy Kitchen),"Pretend-play snack set to stir creativity and role play.","https://placehold.co/400x250/ffa07a/000000?text=Snack+Maker","$29.99","In stock",4.1,"https://www.amazon.com/s?k=kids+snack+maker+toy&tag=giftwithai-21","kid (7-9);preschool (4-6);$25 - $75;play",
70,Junior Gardening Gloves & Tools,"Small, safe tools for planting and digging fun.","https://placehold.co/400x250/98fb98/000000?text=Gardening+Gloves","$15.99","In stock",4.3,"https://www.amazon.com/s?k=junior+gardening+tools&tag=giftwithai-21","kid (7-9);preschool (4-6);under $25;outdoors",
71,Beginner Sewing Kit for Kids,"Safe needle alternatives and large-stitch practice.","https://placehold.co/400x250/ff69b4/000000?text=Sewing+Kit","$18.99","In stock",4.0,"https://www.amazon.com/s?k=beginner+sewing+kit+for+kids&tag=giftwithai-21","tween (10-12);arts & crafts;under $25",
72,Junior Sports Watch (Waterproof),"Kid-friendly watch with basic timer functions.","https://placehold.co/400x250/00008b/ffffff?text=Kids+Watch","$24.99","In stock",4.2,"https://www.amazon.com/s?k=junior+sports+watch&tag=giftwithai-21","kid (7-9);tween (10-12);under $25;gifts",
73,Animal Hand Puppets Set,"Puppets for storytelling and cozy play sessions.","https://placehold.co/400x250/ffdead/000000?text=Puppets","$16.99","In stock",4.5,"https://www.amazon.com/s?k=animal+hand+puppets+set&tag=giftwithai-21","preschool (4-6);toddler (1-3);under $25;toys",
74,Kids' Camping Chair (Foldable),"Tiny foldable chair for picnics and camping trips.","https://placehold.co/400x250/6a5acd/ffffff?text=Camping+Chair","$29.99","In stock",4.3,"https://www.amazon.com/s?k=kids+camping+chair&tag=giftwithai-21","kid (7-9);tween (10-12);$25 - $75;outdoors",
75,Build-and-Play Marble Run,"Modular marble track with satisfying falls and loops.","https://placehold.co/400x250/ffd700/000000?text=Marble+Run","$34.99","In stock",4.6,"https://www.amazon.com/s?k=marble+run+set&tag=giftwithai-21","kid (7-9);tween (10-12);STEM;$25 - $75",
76,Kids' Cookbook (Simple Recipes),"Child-friendly recipes for family cooking nights.","https://placehold.co/400x250/8b4513/ffffff?text=Kids+Cookbook","$12.99","In stock",4.4,"https://www.amazon.com/s?k=kids+cookbook&tag=giftwithai-21","tween (10-12);kid (7-9);books;under $25",
77,Glow Paint Party Set,"Safe glow-in-the-dark paints for evening art projects.","https://placehold.co/400x250/00008b/ffffff?text=Glow+Paint","$14.99","In stock",4.1,"https://www.amazon.com/s?k=glow+paint+party+set&tag=giftwithai-21","tween (10-12);teen (13-19);arts & crafts;under $25",
78,Junior Rock Tumbler Kit,"Polish stones and discover colorful results over time.","https://placehold.co/400x250/00ced1/000000?text=Rock+Tumbler","$39.99","In stock",4.3,"https://www.amazon.com/s?k=junior+rock+tumbler&tag=giftwithai-21","tween (10-12);STEM;$25 - $75;educational",
79,Kids' Tool Bench (Pretend),"Pretend workbench with safe plastic tools for role play.","https://placehold.co/400x250/ffa07a/000000?text=Tool+Bench","$49.99","In stock",4.5,"https://www.amazon.com/s?k=kids+tool+bench&tag=giftwithai-21","preschool (4-6);kid (7-9);$25 - $75;toys",
80,Mini Scooter (Adjustable Height),"Lightweight scooter for outdoor scooting and balance.","https://placehold.co/400x250/ffa500/000000?text=Mini+Scooter","$59.99","In stock",4.4,"https://www.amazon.com/s?k=mini+scooter+adjustable&tag=giftwithai-21","kid (7-9);tween (10-12);$25 - $75;outdoors",
81,Emoji Cushion (Plush),"Happy emoji cushion for room decor and napping.","https://placehold.co/400x250/ff69b4/000000?text=Emoji+Cushion","$14.99","In stock",4.2,"https://www.amazon.com/s?k=emoji+cushion&tag=giftwithai-21","teen (13-19);kid (7-9);under $25;home",
82,Kids' Walkie Talkies (Pair),"Range-friendly walkies for secret missions and forts.","https://placehold.co/400x250/4682b4/ffffff?text=Walkie+Talkies","$24.99","In stock",4.1,"https://www.amazon.com/s?k=kids+walkie+talkies&tag=giftwithai-21","kid (7-9);tween (10-12);under $25;outdoors",
83,Origami Starter Kit,"Paper, folds and beginner-friendly guides for neat cranes.","https://placehold.co/400x250/9acd32/000000?text=Origami+Kit","$13.99","In stock",4.3,"https://www.amazon.com/s?k=origami+starter+kit&tag=giftwithai-21","tween (10-12);kid (7-9);arts & crafts;under $25",
84,Junior Science Experiment Kit,"Safe chemistry and simple experiments for curious minds.","https://placehold.co/400x250/00ced1/000000?text=Science+Kit","$29.99","In stock",4.6,"https://www.amazon.com/s?k=junior+science+experiment+kit&tag=giftwithai-21","tween (10-12);STEM;$25 - $75;educational",
85,Kids' Karaoke Stage,"Compact mic and mini speaker for living room concerts.","https://placehold.co/400x250/ff69b4/000000?text=Karaoke+Stage","$34.99","In stock",4.0,"https://www.amazon.com/s?k=kids+karaoke+stage&tag=giftwithai-21","teen (13-19);tween (10-12);$25 - $75;music",
86,Bath Bombs for Kids (Fun Scents),"Gentle, colorful bath bombs with fun shapes.","https://placehold.co/400x250/ff7f50/000000?text=Bath+Bombs","$12.99","In stock",4.2,"https://www.amazon.com/s?k=bath+bombs+for+kids&tag=giftwithai-21","toddler (1-3);preschool (4-6);under $25;home",
87,LEGO-Compatible Creative Bricks (Small Set),"Small brick set for beginner builds and models.","https://placehold.co/400x250/ffd700/000000?text=Creative+Bricks","$29.99","In stock",4.7,"https://www.amazon.com/s?k=lego+compatible+bricks+small&tag=giftwithai-21","kid (7-9);tween (10-12);$25 - $75;toys",
88,Kids' Binoculars with Compass,"Explorer set for backyard safaris and nature lists.","https://placehold.co/400x250/6a5acd/ffffff?text=Binoculars+Compass","$26.99","In stock",4.3,"https://www.amazon.com/s?k=kids+binoculars+with+compass&tag=giftwithai-21","kid (7-9);tween (10-12);under $25;outdoors",
89,Play-Doh Mega Pack,"Modeling compound pack for endless sculpting and colors.","https://placehold.co/400x250/ffb6c1/000000?text=PlayDoh","$19.99","In stock",4.5,"https://www.amazon.com/s?k=play-doh+mega+pack&tag=giftwithai-21","preschool (4-6);toddler (1-3);under $25;arts & crafts",
90,Kids' Magnetic Drawing Board,"Mess-free doodling board for creativity on the go.","https://placehold.co/400x250/20b2aa/ffffff?text=Drawing+Board","$14.99","In stock",4.1,"https://www.amazon.com/s?k=magnetic+drawing+board+kids&tag=giftwithai-21","toddler (1-3);preschool (4-6);under $25;travel",
91,Junior Gardening Book (Kid-Friendly),"Guide to easy plants and backyard projects for kids.","https://placehold.co/400x250/98fb98/000000?text=Gardening+Book","$9.99","In stock",4.4,"https://www.amazon.com/s?k=junior+gardening+book&tag=giftwithai-21","kid (7-9);preschool (4-6);books;under $25",
92,Classic Card Game (Family Edition),"Easy-to-learn card game for mixed-age family play.","https://placehold.co/400x250/ffa07a/000000?text=Card+Game","$11.99","In stock",4.6,"https://www.amazon.com/s?k=classic+card+game+family&tag=giftwithai-21","family member;kid (7-9);tween (10-12);under $25",
93,Kids' Pajama Set (Cool Prints),"Soft cotton pj set with fun prints and comfy fit.","https://placehold.co/400x250/ffdead/000000?text=Pajama+Set","$19.99","In stock",4.3,"https://www.amazon.com/s?k=kids+pajama+set&tag=giftwithai-21","kid (7-9);preschool (4-6);under $25;clothing",
94,Beginner Skateboard (Mini),"Small deck with soft wheels for first cruising.","https://placehold.co/400x250/000000/ffffff?text=Mini+Skate","$49.99","In stock",4.0,"https://www.amazon.com/s?k=beginner+skateboard+mini&tag=giftwithai-21","tween (10-12);teen (13-19);$25 - $75;outdoors",
95,Kids' Slippers (Animal),"Cute animal slippers for warm feet and smiles.","https://placehold.co/400x250/ff69b4/000000?text=Slippers","$12.99","In stock",4.2,"https://www.amazon.com/s?k=kids+animal+slippers&tag=giftwithai-21","toddler (1-3);preschool (4-6);under $25;clothing",
96,Mini Science Desk Lamp,"Adjustable desk lamp for homework and projects.","https://placehold.co/400x250/8a2be2/ffffff?text=Desk+Lamp","$29.99","In stock",4.4,"https://www.amazon.com/s?k=mini+desk+lamp&tag=giftwithai-21","tween (10-12);teen (13-19);$25 - $75;school",
97,Kids' Soccer Goal Set (Portable),"Pop-up mini goals for backyard practice and fun.","https://placehold.co/400x250/228b22/ffffff?text=Soccer+Goals","$34.99","In stock",4.3,"https://www.amazon.com/s?k=kids+soccer+goal+set&tag=giftwithai-21","kid (7-9);tween (10-12);outdoors;$25 - $75",
